title,harga,alamat,parkir motor,kamar tidur,kamar mandi,jmlh lantai,luas bangunan,luas tanah
dijual rumah murah kawasan wisata dekat pantai keramas bali,350000000.0,GIANYAR GIANYAR,10.0,2.0,1.0,1.0,36.0,65.0
rumah siap huni dengan luas 1 are di batubulan gianyar bali,650000000.0,"BATUBULAN KANGIN, SUKAWATI, GIANYAR, BALI SUKAWATI, GIANYAR",10.0,3.0,2.0,1.0,65.0,100.0
jual rumah murah 400 jutaan bypass dharma giri kota gianyar bali,415000000.0,"BYPASS BITERA GIANYAR, GIANYAR",10.0,2.0,1.0,1.0,45.0,80.0
rumah siap huni di gianyar bali hanya 650 jutaan,650000000.0,"SUKAWATI, GIANYAR",20.0,3.0,2.0,1.0,70.0,125.0
rumah siap huni murah di guwang gianyar free pagar & kanopi,450000000.0,"SUKAWATI, GIANYAR",4.0,2.0,1.0,1.0,40.0,56.0
rumah view sawah di saba gianyar bali (dyjgia20),2000000000.0,"SABA, GIANYAR",8.0,3.0,3.0,1.0,110.0,120.0
rumah ubud gianyar bali near central ubud id:b-90 sale jual,1800000000.0,"UBUD, GIANYAR",10.0,4.0,2.0,1.0,150.0,150.0
rumah ready 3 kamar gianyar bali jual,530000000.0,"BELEGA BLAHBATUH, GIANYAR",10.0,3.0,1.0,1.0,45.0,70.0
"villa dijual di ubud bali , perumahan damara village ubud ( tipe damita a )",3400000000.0,"UBUD, GIANYAR",8.0,2.0,3.0,2.0,104.0,100.0
rumah semi villa di ubud gianyar pemandangan sawah,1500000000.0,"UBUD, GIANYAR",8.0,4.0,2.0,2.0,250.0,228.0
di jual rumah style bali minimalis batubulan gianyar bali,670000000.0,"BATUBULAN, GIANYAR",4.0,3.0,2.0,1.0,60.0,100.0
rumah murah dilingkungan perumahan,355000000.0,"BLAHBATUH, GIANYAR",4.0,2.0,1.0,1.0,75.0,100.0
rumah siap huni hanya 450 jutaan di gianyar bali,450000000.0,"GIANYAR, BALI GIANYAR",20.0,3.0,2.0,1.0,60.0,100.0
rumah dekat denpasar di jl batu intan desa batubulan sukawati gianyar,1200000000.0,"JALAN BATU INTAN I, GIANYAR 80582, INDONESIA SUKAWATI, GIANYAR",10.0,3.0,1.0,1.0,162.0,200.0
for sale rumah minimalis siap huni full furnished di batu bulan,600000000.0,"BATUBULAN GIANYAR, GIANYAR",8.0,2.0,2.0,2.0,80.0,57.0
rumah minimalis siap huni bagus,525000000.0,"BATUBULAN, GIANYAR",4.0,2.0,1.0,1.0,45.0,70.0
di jual cepat rumah tipe 50 harga miring daerah saba gianyar-bali,350000000.0,"JALAN RAYA SABA SABA, GIANYAR",20.0,2.0,1.0,1.0,60.0,100.0
rumah nyamandilingkungan private jantung kota gianyar,390000000.0,"GIANYAR, GIANYAR",10.0,2.0,1.0,1.0,36.0,62.0
"rumah desain minimalis siap huni di guwang bali, 5 menit ke bypass ida bagus man",460000000.0,"SUKAWATI, GIANYAR, BALI SUKAWATI, GIANYAR",4.0,2.0,1.0,1.0,45.0,56.0
tercantik di gianyar rumah murah siap bangun dekat alun-alun kota,480000000.0,"SUKAWATI, GIANYAR, BALI SUKAWATI, GIANYAR",20.0,2.0,1.0,1.0,45.0,100.0
rumah murah gianyar,350000000.0,"JALAN RAYA TOJAN GIANYAR, GIANYAR",20.0,2.0,1.0,1.0,36.0,100.0
di jual rumah lokasi strategis dengan akses lebar batuyang batubulan,730000000.0,"JALAN BATUYANG BATUBULAN GIANYAR BALI BATUBULAN, GIANYAR",10.0,3.0,2.0,1.0,65.0,100.0
rumah murah desain modern ready stock di banjar pacung gianyar,455000000.0,"BITERA, GIANYAR",20.0,2.0,1.0,1.0,45.0,100.0
rumah murah dp ringan di gianyar bali,430000000.0,"BITERA, GIANYAR",20.0,2.0,1.0,1.0,45.0,100.0
dijual rumah full furnish type 110/140 harga 1 m (nego) daerah lodtund,1000000000.0,"UBUD, GIANYAR",10.0,3.0,2.0,1.0,110.0,140.0
rumah baru taman nuansa tjampuhan gianyar bali,1100000000.0,"PERUMAHAN TAMAN NUANSA TJAMPUHAN, GIANYAR 80581, INDONESIA BLAHBATUH, GIANYAR",10.0,3.0,2.0,2.0,110.0,100.0
rumah siap huni di batu bulan,585000000.0,"JALAN BATU BULAN GANG ELANG SEBATU, GIANYAR",10.0,3.0,2.0,1.0,50.0,75.0
"rumah 2lantai di singapadu, sukawati gianyar",650000000.0,"SINGAPADU, GIANYAR",4.0,3.0,2.0,2.0,70.0,70.0
paling laris rumah murah di bali dp ringan dekat pantai keramas,340000000.0,"KERAMAS, KEC. BLAHBATUH, KABUPATEN GIANYAR, BALI BLAHBATUH, GIANYAR",10.0,2.0,1.0,1.0,36.0,65.0
fantastic rumah murah siap huni di gianyar bali,650000000.0,"BATUBULAN BATUBULAN, GIANYAR",10.0,3.0,2.0,1.0,70.0,105.0
rumah villa lokasi di batubulan gianyar bali dekat kota denpasar,1000000000.0,"SUKAWATI, GIANYAR",4.0,3.0,3.0,2.0,150.0,100.0
rumah baru jl. smki batubulan gianyar bali,675000000.0,"BATUBULAN, GIANYAR",20.0,3.0,2.0,1.0,60.0,100.0
rumah luas harga murah,1300000000.0,"GIANYAR, GIANYAR",4.0,3.0,1.0,1.0,145.0,150.0
