title,harga,alamat,parkir_motor,kamar_tidur,kamar_mandi,jmlh_lantai,luas_bangunan,luas_tanah,kabupaten
rumah murah minimalis dekat lapangan sepak bola celuk sukawati gianyar,499000000,"sukawati, gianyar",10,3,1,1,42,70,gianyar
rumah siap huni di batubulan,730000000,"batubulan, gianyar",4,3,2,1,60,100,gianyar
dijual rumah indent lantai 2 lolasi batubulan ( jl pasekan),875000000,"batubulan, gianyar",8,3,2,2,120,100,gianyar
rumah baru siap huni lantai 1 di area batubulan gianyar bali,460000000,"sukawati, gianyar",4,2,1,1,42,65,gianyar
"dijual cepat rumah di ketewel, sukawati",1050000000,"ketewel, sukawati, gianyar, bali sukawati, gianyar",10,3,2,1,70,100,gianyar
rumah siap huni view sungai,495000000,"blahbatuh, gianyar",20,3,1,1,65,127,gianyar
rumah dijual murah di gianyar bali harga 300jtan,375000000,"banjar tojan desa pering belah batu gianyar bali blahbatuh, gianyar",20,2,1,1,42,99,gianyar
dijual rumah dikawasan batubulan,700000000,"batubulan, gianyar",6,3,2,2,200,100,gianyar
rumah baru siap huni 2 lantai di kawasan batuyang gianyar,850000000,"batubulan kangin, gianyar",4,4,3,2,120,72,gianyar
rumah ready siap huni celuk gianyar bali,650000000,"celuk, gianyar",10,3,1,1,60,80,gianyar
v6.100 rumah dijual di selatan ubud,600000000,"jalan raya ubud no.1 ubud, gianyar",4,2,1,1,42,75,gianyar
dijual rumah siap huni murah di blahbatuh bali,575000000,"blahbatuh, gianyar",20,2,2,1,55,115,gianyar
rumah minimalis di gianyar ubud,590000000,"ubud, gianyar",10,2,1,1,60,90,gianyar
murah dijual rumah 2 lantai luas 100 m2 di singapadu gianyar,650000000,"gianyar, gianyar",4,3,2,2,150,100,gianyar
rumah murah lokasi batuyang batubulan gianyar bali,450000000,"sukawati, gianyar",10,2,1,1,50,70,gianyar
dijual murah rumah minimalis style villa di kawasan perumahan yang asr,1300000000,"ketewel, gianyar",4,4,4,2,200,240,gianyar
rumah minimalis 3 kamar struktur siap naik lantai,595000000,"gianyar, gianyar",4,3,1,3,60,100,gianyar
dijual rumah villa 2 lantai di sebatu gianyar bali harga murah,3000000000,"jalan raya tegallalang, gianyar, indonesia tegallalang, gianyar",8,3,3,2,136,150,gianyar
rumah di saba blahbatuh gianyar dekat fas. umum,2300000000,"blahbatuh, gianyar",10,4,3,1,350,370,gianyar
"sale rumah berkelas baru gress sasih batubulan dekat terminal,by pass",690000000,"jl sasih batubulan gianyar batubulan, gianyar",8,3,2,1,85,100,gianyar
rumah los sungai di ubud,1800000000,"ubud, gianyar",20,3,3,1,150,200,gianyar
dijual rumah dikawasan batubulan bali,550000000,"batubulan, gianyar",4,2,2,1,65,100,gianyar
rumah 2 lantai di pering gianyar.bali.ib mantra pantai lebih,1150000000,"pering gianyar.bali. pering, gianyar",10,3,2,2,130,100,gianyar
dijual rumah second lantai 2 dikawasan batubulan,700000000,"batubulan, gianyar",4,4,2,2,160,100,gianyar
rumah second lantai 1 di kawasan batuyang gianyar bali,650000000,"sukawati, gianyar",20,3,2,1,65,110,gianyar
rumah baru siap huni di kawasan guwang sukawati gianyar,500000000,"guwang, gianyar",4,2,1,1,50,75,gianyar
id:b-97 for sale jual rumah batubulan gianyar bali denpasar sanur central ubud,610000000,"batubulan, gianyar",10,3,2,1,60,91,gianyar
rumah murah 4kt dengan view sawah cantik di ubud bali,1750000000,"ubud ubud, gianyar",20,4,4,2,156,204,gianyar
"rumah murah bali 400 jutaan, terlaris, dekat ke pusat kota gianyar",455000000,"jalan bitera ubud, gianyar",20,2,1,1,45,100,gianyar
rumah modern 2 lantai di batubulan dekat pantai sanur harga terjangkau,965000000,"batubulan sukawati, gianyar",10,3,2,2,115,100,gianyar
rumah harga miring siap huni 3 kamar dekat denpasar,635000000,"batubulan, gianyar, bali batubulan, gianyar",4,3,2,1,60,100,gianyar
rumah komersial di ubud hanya 2 kilometer dari ubud center bali,2500000000,"ubud, gianyar",4,2,2,1,100,100,gianyar
rumah siap huni di batu bulan,715000000,"batubulan, gianyar",10,3,2,1,70,100,gianyar
rumah 2lantai at ketewel,1500000000,"ketewel, gianyar",6,3,4,2,300,200,gianyar
"dijual rumah minimalis baru lokasi di jl. smki batubulan, gianyar, bal",595000000,"batubulan, gianyar",10,2,2,1,50,80,gianyar
