,title,harga,alamat,parkir_motor,kamar_tidur,kamar_mandi,jmlh_lantai,luas_bangunan,luas_tanah,kabupaten
4417,dijual rumah minimalis modern di penatih - denpasar timur,0.215311004784689,"penatih kel., denpasar timur, denpasar, indonesia denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.3185595567867036,0.27941176470588236,denpasar
4418,rumah mewah siap huni jepun pipil denpasar bali,0.23444976076555024,"jalan jepun pipil denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.0,0.23545706371191133,0.23823529411764707,denpasar
4419,dijual rumah gatsu timur denpasar,0.4832535885167464,"jalan gatsu, denpasar 80129, indonesia denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.0,0.3739612188365651,0.5441176470588235,denpasar
4420,for sale rumah elegan kawasan asri persawahan denpasar,0.1550239234449761,"jalan siulan denpasar bali denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.20775623268698062,0.14705882352941177,denpasar
4421,rumah 2 lantai di denpasar timur bali,0.215311004784689,"jalan siulan, denpasar, indonesia denpasar timur, denpasar",0.0,0.75,0.3333333333333333,0.5,0.2631578947368421,0.37058823529411766,denpasar
4422,rumah mewah minimalis dekat sanur denpasar,0.24421052631578946,"jalan waribang denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.0,0.20775623268698062,0.27941176470588236,denpasar
4423,for sale rumah 2 lantai bernuansa bali di denpasar timur,0.2727272727272727,"denpasar timur, denpasar",0.0,0.75,0.3333333333333333,0.5,0.7340720221606648,0.5,denpasar
4424,rumah lantai 2 di area jl sedap malam denpasar timur,0.2727272727272727,"denpasar timur, denpasar",0.0,1.0,1.0,0.5,0.4570637119113573,0.23529411764705885,denpasar
4425,rumah siap huni baru dekat sanur area denpasar,0.17703349282296652,"jalan waribang denpasar bali denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.0,0.12465373961218837,0.27941176470588236,denpasar
4426,rumah mewah siap huni gatot subroto timur denpasar bali,0.23425837320574164,"jalan gatot subroto timur denpasar bali denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.0,0.23545706371191133,0.23823529411764707,denpasar
4427,rumah villa lokasi batubulan dekat kota denpasar timur,0.3397129186602871,"denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.6509695290858726,0.2941176470588235,denpasar
4428,rumah villa full furnished lokasi samping dyatmika school denpasar,0.3684210526315789,"kesiman kertalangu kel., denpasar timur, denpasar, indonesia denpasar timur, denpasar",0.0625,0.5,0.3333333333333333,0.0,0.4847645429362881,0.6470588235294117,denpasar
4429,rumah di dekat tohpati & gatsu kota denpasar,0.19617224880382775,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.23545706371191133,0.2058823529411765,denpasar
4430,rumah mewah di gatsu lingkungan elite kota denpasar timur,0.29186602870813394,"denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.2770083102493075,0.22941176470588234,denpasar
4431,rumah style tropis villa di sekar jepun,0.521531100478469,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.4847645429362881,0.38235294117647056,denpasar
4432,rumah lingkugan cluster akasia hayam wuruk denpasar,0.15311004784688997,"denpasar timur, denpasar",0.375,0.5,0.3333333333333333,0.0,0.1523545706371191,0.22647058823529412,denpasar
4433,for sale rumah baru siap huni waribang dekat sanur area denpasar,0.18660287081339713,"jalan waribang denpasar bali denpasar timur, denpasar",0.0625,0.5,0.3333333333333333,0.0,0.12465373961218837,0.27941176470588236,denpasar
4434,dijual rumah istimewa di kawasan elit sekar tunjung denpasar timur.,0.29186602870813394,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.3185595567867036,0.3058823529411765,denpasar
4435,for sale rumah mewah waribang dekat sanur dan bandara ngurah rai denpasar,0.24401913875598089,"jalan waribang denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.0,0.20775623268698062,0.27941176470588236,denpasar
4436,jual cepat rumah 2lt luas tanah 125m2 lokasi gatsu tengah denpasar,0.2535885167464115,"jl gatsu tengah denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.3185595567867036,0.27941176470588236,denpasar
4437,rumah di jual murah buc lokasi di gatsu kota denpasar timur,0.29186602870813394,"denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.2770083102493075,0.22941176470588234,denpasar
4438,rumah indent renon-sedap malam,0.11004784688995214,"denpasar timur, denpasar",0.0,0.5,0.0,0.0,0.09695290858725761,0.1676470588235294,denpasar
4439,rumah renon denpasar bali near sanur sesetan panjer kuta,0.4066985645933014,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.2631578947368421,0.2058823529411765,denpasar
4440,dijual rumah lantai 2 kawasan jl sedap malam denpasar lingkungan perum,0.4258373205741627,"jalan sedap malam ii, denpasar 80237, indonesia denpasar timur, denpasar",0.0,1.0,1.0,0.5,0.9279778393351801,0.5,denpasar
4441,"dijual rumah 2 lantai di jl. sulatri denpasar luas 1,44 are",0.17703349282296652,"jalan sulatri, denpasar 80237, indonesia denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.39058171745152354,0.33529411764705885,denpasar
4442,808. dijual rumah murah di denpasar,0.3684210526315789,"denpasar timur, denpasar",0.0,1.0,1.0,0.5,0.6786703601108033,0.5,denpasar
4443,"rumah murah lokasi batuyang , batubulan kota gianyar dekat terminal",0.13875598086124402,"denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.5,0.20775623268698062,0.1323529411764706,denpasar
4444,rumah bagus di jalan gandapura kota denpasar bali,0.5483253588516747,"jl. gandapura, kesiman denpasar timur, denpasar",0.0,0.75,0.3333333333333333,0.5,0.7950138504155124,0.7941176470588235,denpasar
4445,dijual hak miliki rumah bali minimalis di siulan,0.2727272727272727,"siulan, denpasar timur denpasar timur, denpasar",0.0,0.25,0.3333333333333333,0.0,0.3462603878116343,0.47058823529411764,denpasar
4446,rumah baru tohpati denpasar timur,0.19617224880382775,"jalan raya tohpati, denpasar 80237, indonesia denpasar timur, denpasar",0.0,0.5,0.3333333333333333,0.0,0.20775623268698062,0.2058823529411765,denpasar
4447,rumah baru minimalis lokasi di kesiman denpasar timur,0.14832535885167464,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.20775623268698062,0.1323529411764706,denpasar
4448,rumah minimalis modern with pool sedap malam,0.4449760765550239,"denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.4570637119113573,0.3529411764705882,denpasar
4449,rumah lantai 2 di area jl sedap malam denpasar timur,0.215311004784689,"denpasar timur, denpasar",0.375,0.5,0.6666666666666667,0.5,0.2548476454293629,0.3529411764705882,denpasar
4450,rumah desain mewah di gatsu timur kota denpasar - bali,0.29186602870813394,"denpasar timur, denpasar",0.0,0.75,0.6666666666666667,0.5,0.29085872576177285,0.22941176470588234,denpasar
4451,rumah 2 lantai di denpasar timur,0.11004784688995214,"jalan trenggana penatih denpasar timur, denpasar",0.0625,0.5,0.3333333333333333,0.5,0.11080332409972299,0.10588235294117648,denpasar
4452,rumah murah lantai 2 lokasi di batubulan gianyar,0.13110047846889952,"denpasar timur, denpasar",0.0,0.75,0.3333333333333333,0.5,0.20775623268698062,0.15,denpasar
4453,di jual rumah baru indent lantai 2 minimalis modern di kota denpasar,0.14832535885167464,"denpasar timur, denpasar",0.0,0.5,0.6666666666666667,0.5,0.20775623268698062,0.1323529411764706,denpasar
